Date,Day (Week),App,Minutes,Category
8/29,Tuesday,SPOTIFY,216,Entertainment
,,TIKOK,115,Entertainment
,,MESSAGES,84,Other
,,CALCULATOR,43,Education
,,INSTAGRAM,35,Social Media
,,SAFARI,26,Other
,,WEATHER,6,Other
,,,,
8/30,Wednesday,SPOTIFY,79,Entertainment
,,TIKOK,86,Entertainment
,,MESSAGES,18,Other
,,CALCULATOR,150,Education
,,INSTAGRAM,70,Social Media
,,SAFARI,33,Other
,,WEATHER,5,Other
,,,,
8/31,Thursday,SPOTIFY,86,Entertainment
,,TIKTOK,75,Entertainment
,,MESSAGES,86,Other
,,CALCULATOR,9,Other
,,INSTAGRAM,44,Social Media
,,SAFARI,39,Other
,,WEATHER,1,Other
,,,,
9/1,,SPOTIFY,221,Entertainment
,,TIKOK,61,Entertainment
,,MESSAGES,84,Other
,,CALCULATOR,43,Education
,,INSTAGRAM,35,Social Media
,,SAFARI,26,Other
,,WEATHER,6,Other
,,,,
9/2,,SPOTIFY,35,Entertainment
,,TIKOK,67,Entertainment
,,MESSAGES,45,Other
,,CALCULATOR,4,Education
,,INSTAGRAM,73,Social Media
,,SAFARI,37,Other
,,WEATHER,13,Other
,,,,
9/3,,SPOTIFY,115,Entertainment
,,TIKOK,11,Entertainment
,,MESSAGES,48,Other
,,CALCULATOR,2,Education
,,INSTAGRAM,19,Social Media
,,SAFARI,20,Other
,,WEATHER,4,Other
,,,,
9/4,,SPOTIFY,27,Entertainment
,,TIKOK,47,Entertainment
,,MESSAGES,15,Other
,,CALCULATOR,7,Education
,,INSTAGRAM,108,Social Media
,,SAFARI,54,Other
,,WEATHER,2,Other
